Disease_Key,Medicine_Name,Active_Ingredient,Allergy_Group,Contraindications,Common_Side_Effects
Flu,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea mild rash
Common_Cold,Antihistamine,Cetirizine,Antihistamine,Severe kidney disease,Drowsiness dry mouth
COVID19,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea fatigue
Pneumonia,Amoxicillin,Amoxicillin,Penicillin,Penicillin allergy,Nausea diarrhea
Asthma,Salbutamol Inhaler,Salbutamol,Beta2 Agonist,Heart disease patients,Tremor palpitations
Migraine,Ibuprofen,Ibuprofen,NSAIDs,Ulcer patients,Stomach pain nausea
Hypertension,Amlodipine,Amlodipine,Calcium Channel Blocker,Low blood pressure patients,Dizziness swelling
Diabetes,Metformin,Metformin,Biguanide,Severe kidney disease,Nausea diarrhea
Gastritis,Antacid,Magnesium Hydroxide,Antacid,Severe kidney disease,Constipation
GERD,Omeprazole,Omeprazole,Proton Pump Inhibitor,Liver disease patients,Headache nausea
Kidney_Stone,Potassium Citrate,Potassium Citrate,Urinary Alkalizer,Kidney failure patients,Stomach upset
Urinary_Tract_Infection,Nitrofurantoin,Nitrofurantoin,Antibiotic,Severe kidney disease,Nausea headache
Arthritis,Diclofenac,Diclofenac,NSAIDs,Ulcer patients,Stomach irritation
Dengue,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea
Malaria,Chloroquine,Chloroquine,Antimalarial,Heart rhythm disorder,Vomiting headache
Typhoid,Azithromycin,Azithromycin,Macrolide Antibiotic,Liver disease patients,Diarrhea nausea
Tuberculosis,Isoniazid,Isoniazid,Antituberculosis Drug,Liver disease patients,Peripheral neuropathy
Bronchitis,Amoxicillin,Amoxicillin,Penicillin,Penicillin allergy,Nausea diarrhea
Sinusitis,Amoxicillin,Amoxicillin,Penicillin,Penicillin allergy,Diarrhea rash
Allergic_Rhinitis,Loratadine,Loratadine,Antihistamine,Liver disease patients,Drowsiness headache
Tension_Headache,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea
Hypotension,Fludrocortisone,Fludrocortisone,Corticosteroid,Hypertension patients,Fluid retention
Hypoglycemia,Glucose Tablets,Dextrose,Carbohydrate Therapy,Diabetes uncontrolled,Hyperglycemia
Hyperthyroidism,Methimazole,Methimazole,Antithyroid Drug,Pregnancy,Liver toxicity rash
Hypothyroidism,Levothyroxine,Levothyroxine,Thyroid Hormone,Heart disease patients,Palpitations insomnia
Peptic_Ulcer,Omeprazole,Omeprazole,Proton Pump Inhibitor,Liver disease patients,Headache nausea
Appendicitis,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea
Food_Poisoning,Oral Rehydration Salts,Electrolytes,Rehydration Therapy,Severe kidney disease,Nausea bloating
Irritable_Bowel_Syndrome,Dicycloverine,Dicycloverine,Antispasmodic,Glaucoma patients,Dry mouth dizziness
Crohns_Disease,Mesalamine,Mesalamine,Aminosalicylate,Kidney disease patients,Headache nausea
Ulcerative_Colitis,Mesalamine,Mesalamine,Aminosalicylate,Kidney disease patients,Nausea abdominal pain
Gallstones,Ursodeoxycholic Acid,Ursodiol,Bile Acid Therapy,Liver disease patients,Diarrhea
Rheumatoid_Arthritis,Methotrexate,Methotrexate,Immunosuppressant,Pregnancy,Nausea fatigue
Osteoarthritis,Ibuprofen,Ibuprofen,NSAIDs,Ulcer patients,Stomach irritation
Gout,Allopurinol,Allopurinol,Xanthine Oxidase Inhibitor,Kidney disease patients,Rash nausea
Lupus,Hydroxychloroquine,Hydroxychloroquine,Antimalarial,Retinal disease patients,Blurred vision
Chickenpox,Acyclovir,Acyclovir,Antiviral,Kidney disease patients,Nausea headache
Measles,Paracetamol,Acetaminophen,Analgesic,Liver disease patients,Nausea rash
Cholera,Oral Rehydration Salts,Electrolytes,Rehydration Therapy,Severe kidney disease,Bloating
Meningitis,Ceftriaxone,Ceftriaxone,Cephalosporin Antibiotic,Penicillin allergy,Diarrhea rash
Encephalitis,Acyclovir,Acyclovir,Antiviral,Kidney disease patients,Nausea fatigue
Epilepsy,Sodium Valproate,Valproic Acid,Anticonvulsant,Pregnancy,Weight gain tremor
Parkinsons_Disease,Levodopa,Levodopa,Dopamine Precursor,Glaucoma patients,Nausea dizziness
Alzheimers_Disease,Donepezil,Donepezil,Cholinesterase Inhibitor,Heart rhythm disorder,Nausea insomnia
Multiple_Sclerosis,Interferon Beta,Interferon Beta,Immunomodulator,Liver disease patients,Fever fatigue
Depression_Disorder,Fluoxetine,Fluoxetine,SSRI,MAOI drug use,Nausea insomnia
Anxiety_Disorder,Buspirone,Buspirone,Anxiolytic,Severe liver disease,Dizziness headache
Bipolar_Disorder,Lithium Carbonate,Lithium,Mood Stabilizer,Kidney disease patients,Tremor thirst
