Disease,Fever,Cough,Dry_Cough,Headache,Fatigue,Nausea,Vomiting,Diarrhea,Constipation,Body_Pain,Muscle_Pain,Joint_Pain,Chest_Pain,Shortness_of_Breath,Sore_Throat,Runny_Nose,Nasal_Congestion,Loss_of_Smell,Loss_of_Taste,Loss_of_Appetite,Weight_Loss,Abdominal_Pain,Back_Pain,Dizziness,Lightheadedness,Blurred_Vision,Skin_Rash,Itching,Chills,Sweating,Cold_Hands_Feet,Swelling,High_Blood_Pressure,Low_Blood_Pressure,Palpitations,Heartburn,Indigestion,Bloating,Frequent_Urination,Painful_Urination,Blood_in_Urine,Anxiety,Depression,Insomnia,Confusion,Memory_Loss,Seizures,Tremor,Bruising,Prognosis_Score
COVID-19,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,88
COVID-19,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75
COVID-19,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,82
COVID-19,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65
COVID-19,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,95
Influenza,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60
Influenza,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55
Influenza,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62
Influenza,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70
Influenza,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58
